Attitude,,,,Error,,,DError,,,Torque,,
0.6439494,0.5357732,-0.3423991,0.4254871,83.24838,77.17619,-5.760651,-3.651123,18.75757,13.61908,-28.62564,-4.39529,15.34727
0.6416915,0.5352213,-0.3371711,0.4336886,83.62445,74.75334,-7.501709,-3.008545,19.38281,13.92847,-28.09588,-3.04319,16.17898
0.639717,0.5345728,-0.3315307,0.4416802,83.92075,72.27553,-9.262039,-2.370361,19.82251,14.08264,-27.54659,-1.860149,16.86125
0.6380058,0.5338342,-0.3255197,0.4494516,84.14001,69.76572,-11.02309,-1.75415,20.07849,14.08838,-26.99616,-0.8512249,17.39531
0.6365299,0.5330123,-0.3191832,0.4570009,84.28671,67.24489,-12.76842,-1.173584,20.16663,13.96271,-26.4596,-0.00684166,17.79324
0.635257,0.5321143,-0.3125651,0.464334,84.36633,64.73088,-14.48463,-0.6369019,20.11206,13.72961,-25.9468,0.6927948,18.075
0.634154,0.5311467,-0.3057061,0.4714614,84.38477,62.23802,-16.16125,-0.147583,19.94287,13.41302,-25.46302,1.271463,18.2614
0.6331886,0.5301155,-0.2986414,0.4783964,84.34785,59.77731,-17.7907,0.2954102,19.68567,13.03558,-25.00895,1.752474,18.3728
0.6323319,0.5290259,-0.2914008,0.4851531,84.261,57.35696,-19.36752,0.6947632,19.36279,12.6145,-24.58354,2.155703,18.42476
0.6315582,0.5278825,-0.284009,0.4917451,84.12907,54.98293,-20.88802,1.055481,18.99231,12.164,-24.18324,2.497431,18.43041
0.6308458,0.5266891,-0.2764857,0.4981846,83.95631,52.65947,-22.34975,1.382019,18.58765,11.69385,-23.80488,2.789805,18.39877
0.6301762,0.525449,-0.268847,0.5044825,83.74656,50.3895,-23.75121,1.67804,18.15979,11.21173,-23.44593,3.042941,18.3371
0.6295339,0.5241652,-0.261106,0.5106482,83.50304,48.1749,-25.09167,1.948181,17.7168,10.72369,-23.10273,3.264327,18.2512
0.6289061,0.5228401,-0.2532733,0.5166895,83.22857,46.0168,-26.37087,2.19574,17.26477,10.23358,-22.77283,3.45973,18.14484
0.6282822,0.521476,-0.2453573,0.5226129,82.9257,43.91573,-27.58905,2.422913,16.80859,9.745422,-22.4548,3.633876,18.02214
0.6276531,0.5200747,-0.2373652,0.5284238,82.59658,41.8717,-28.74672,2.632996,16.35217,9.261353,-22.14598,3.790661,17.88537
0.6270115,0.5186383,-0.2293028,0.5341266,82.24319,39.88438,-29.84472,2.827148,15.89856,8.783997,-21.84581,3.933244,17.73741
0.6263511,0.5171682,-0.221175,0.5397249,81.86723,37.95309,-30.88405,3.007629,15.45032,8.314636,-21.55254,4.064388,17.57985
0.6256668,0.5156661,-0.2129859,0.5452215,81.4703,36.07697,-31.86593,3.175476,15.00903,7.855042,-21.26562,4.185944,17.41482
0.6249542,0.5141335,-0.204739,0.5506188,81.05373,34.25487,-32.79169,3.332581,14.57678,7.406067,-20.98354,4.300322,17.24357
0.6242097,0.5125716,-0.1964371,0.5559183,80.61882,32.48563,-33.6627,3.479248,14.15393,6.96814,-20.7064,4.408242,17.06695
0.6234303,0.510982,-0.1880828,0.5611212,80.1667,30.7679,-34.48048,3.616943,13.74182,6.542175,-20.43307,4.511452,16.88632
0.6226134,0.5093659,-0.1796783,0.5662285,79.69838,29.10027,-35.24657,3.746582,13.34106,6.128784,-20.16293,4.610985,16.70276
0.6217569,0.5077248,-0.1712254,0.5712406,79.21481,27.48129,-35.96252,3.86853,12.95178,5.7276,-19.89591,4.707394,16.51636
0.6208591,0.5060599,-0.1627258,0.5761577,78.71684,25.90949,-36.62991,3.983826,12.5744,5.33905,-19.63123,4.801554,16.32802
0.6199185,0.5043727,-0.1541809,0.5809798,78.20525,24.38335,-37.25028,4.092712,12.20911,4.963013,-19.36886,4.8941,16.1381
0.618934,0.5026645,-0.145592,0.5857066,77.68076,22.90137,-37.82523,4.195923,11.8559,4.599548,-19.1083,4.985486,15.94712
0.6179044,0.5009367,-0.1369602,0.5903377,77.14401,21.46207,-38.35625,4.293945,11.5144,4.24823,-18.84926,5.075784,15.75511
0.616829,0.4991907,-0.1282867,0.5948724,76.5956,20.06398,-38.8449,4.387329,11.18469,3.90918,-18.59135,5.165498,15.56265
0.6157072,0.4974279,-0.1195723,0.5993101,76.03609,18.70567,-39.29262,4.476013,10.86646,3.581726,-18.33482,5.254753,15.36951
0.6145384,0.4956499,-0.110818,0.6036499,75.46603,17.38573,-39.70086,4.560486,10.55957,3.26593,-18.07932,5.343852,15.17619
0.613322,0.4938581,-0.1020246,0.6078908,74.8858,16.10275,-40.07105,4.641907,10.26385,2.961548,-17.82383,5.433031,14.98286
0.6120579,0.4920541,-0.09319291,0.6120319,74.2959,14.85543,-40.40452,4.719177,9.978516,2.667725,-17.56959,5.521886,14.78908
0.6107456,0.4902394,-0.08432374,0.616072,73.69667,13.64249,-40.70261,4.793823,9.703552,2.384705,-17.31518,5.610806,14.59549
0.609385,0.4884157,-0.07541784,0.6200098,73.08851,12.46266,-40.96656,4.865295,9.438599,2.111603,-17.06126,5.6998,14.40157
0.6079759,0.4865845,-0.06647597,0.6238443,72.47176,11.31476,-41.19762,4.934021,9.183228,1.848511,-16.80751,5.7888,14.2078
0.6065181,0.4847477,-0.05749887,0.6275742,71.84668,10.1976,-41.39701,5.00061,8.937256,1.595123,-16.55339,5.877975,14.01423
0.6050116,0.4829069,-0.04848731,0.6311981,71.21358,9.110115,-41.56582,5.064819,8.69989,1.350494,-16.29926,5.966856,13.82024
0.6034562,0.4810638,-0.03944203,0.6347146,70.57271,8.051231,-41.70517,5.126953,8.471069,1.114807,-16.04486,6.0557,13.62636
0.601852,0.4792202,-0.03036385,0.6381224,69.9243,7.01992,-41.81611,5.187256,8.250488,0.8874817,-15.79004,6.144512,13.43231
0.6001988,0.4773781,-0.02125356,0.6414202,69.26857,6.01519,-41.89969,5.24585,8.037842,0.6686401,-15.53472,6.233285,13.23855
0.5984967,0.4755392,-0.01211196,0.6446065,68.60571,5.036156,-41.95684,5.302856,7.832275,0.4571838,-15.27886,6.321429,13.04424
0.5967457,0.4737056,-0.002939928,0.6476797,67.93587,4.081917,-41.98852,5.358704,7.633911,0.2534485,-15.02206,6.409336,12.85
0.5949458,0.4718791,0.006261664,0.6506385,67.25924,3.151619,-41.99562,5.413086,7.442383,0.05682373,-14.76469,6.496897,12.65551
0.5930971,0.4700618,0.0154919,0.6534812,66.57593,2.244476,-41.979,5.466492,7.257141,-0.1329346,-14.50629,6.583798,12.46077
0.5911995,0.4682558,0.02474983,0.6562066,65.88608,1.359726,-41.9395,5.518799,7.078003,-0.3160706,-14.24702,6.670085,12.26578
0.5892532,0.4664632,0.03403448,0.6588129,65.18979,0.4966583,-41.8779,5.570313,6.904541,-0.4927979,-13.98663,6.755544,12.07057
0.5872583,0.464686,0.04334478,0.6612987,64.48715,-0.3454208,-41.79494,5.621094,6.736633,-0.6636353,-13.72505,6.84026,11.87485
0.5852146,0.4629266,0.05267969,0.6636623,63.77824,-1.167152,-41.6914,5.671326,6.573853,-0.8283081,-13.46215,6.923998,11.67911
0.5831225,0.4611872,0.06203808,0.6659023,63.06313,-1.969154,-41.56796,5.720886,6.416016,-0.9875793,-13.19805,7.006762,11.48281
0.580982,0.4594701,0.07141877,0.6680168,62.34185,-2.751976,-41.42526,5.770233,6.262573,-1.141571,-12.93232,7.088166,11.28601
