Attitude,,,,Error,,,DError,,,Torque,,
0.7243277,-0.6216446,-0.03422071,0.2962033,3.814697E-06,0,-93.21002,0,0,0,-1.144409E-06,0,27.96301
0.7208748,-0.6256454,-0.03258022,0.2963882,3.814697E-06,0,-92.57556,0,0,-5.075684,-1.144409E-06,0,22.69699
0.714598,-0.6328051,-0.02962208,0.2966985,1.907349E-06,0,-91.43246,1.525879E-05,0,-9.144775,1.468658E-05,0,18.28497
0.7082343,-0.6399193,-0.02665366,0.2969798,0,0,-90.28656,1.525879E-05,0,-9.167236,1.525879E-05,0,17.91873
0.7017998,-0.6469696,-0.02368258,0.2972315,0,0,-89.14063,0,0,-9.16748,0,0,17.57471
0.6952951,-0.6539551,-0.02070912,0.2974534,1.907349E-06,0,-87.99472,-1.525879E-05,0,-9.167236,-1.583099E-05,0,17.23118
0.6887209,-0.6608753,-0.0177336,0.2976457,1.907349E-06,0,-86.84882,0,0,-9.167236,-5.722046E-07,0,16.88741
0.6820778,-0.6677293,-0.01475631,0.2978081,1.907349E-06,0,-85.70288,0,0,-9.16748,-5.722046E-07,0,16.54338
0.6753665,-0.6745166,-0.01177754,0.2979408,0,0,-84.55695,1.525879E-05,0,-9.16748,1.525879E-05,0,16.1996
0.6685877,-0.6812364,-0.008797592,0.2980437,0,0,-83.41104,0,0,-9.167236,0,0,15.85608
0.661742,-0.6878881,-0.005816766,0.2981167,0,0,-82.26514,0,0,-9.167236,0,0,15.51231
0.6548302,-0.6944711,-0.002835356,0.29816,0,0,-81.11923,0,0,-9.167236,0,0,15.16854
0.6478528,-0.7009845,0.0001463366,0.2981735,3.814697E-06,1.525879E-05,-79.9733,-3.051758E-05,-0.0001220703,-9.16748,-3.166199E-05,-0.000126648,14.82451
0.6408107,-0.7074279,0.003127999,0.2981571,1.907349E-06,1.525879E-05,-78.82739,1.525879E-05,0,-9.167236,1.468658E-05,-4.577637E-06,14.48098
0.6337045,-0.7138005,0.006109353,0.298111,1.907349E-06,1.525879E-05,-77.68146,0,0,-9.16748,-5.722046E-07,-4.577637E-06,14.13696
0.6265349,-0.7201018,0.009090098,0.298035,0,1.525879E-05,-76.53555,1.525879E-05,0,-9.167236,1.525879E-05,-4.577637E-06,13.79343
0.6193027,-0.7263311,0.01206994,0.2979292,3.814697E-06,1.525879E-05,-75.38965,-3.051758E-05,0,-9.167236,-3.166199E-05,-4.577637E-06,13.44966
0.6120085,-0.7324877,0.01504857,0.2977936,1.907349E-06,1.525879E-05,-74.24371,1.525879E-05,0,-9.16748,1.468658E-05,-4.577637E-06,13.10563
0.6046532,-0.738571,0.0180257,0.2976282,0,1.525879E-05,-73.09781,1.525879E-05,0,-9.167236,1.525879E-05,-4.577637E-06,12.76211
0.5972374,-0.7445805,0.02100103,0.2974331,1.907349E-06,1.525879E-05,-71.9519,-1.525879E-05,0,-9.167236,-1.583099E-05,-4.577637E-06,12.41833
0.5897619,-0.7505155,0.02397425,0.2972082,0,1.525879E-05,-70.80597,1.525879E-05,0,-9.16748,1.525879E-05,-4.577637E-06,12.07431
0.5822273,-0.7563755,0.02694508,0.2969536,3.814697E-06,1.525879E-05,-69.66006,-3.051758E-05,0,-9.167236,-3.166199E-05,-4.577637E-06,11.73078
0.5746346,-0.7621599,0.02991322,0.2966693,1.907349E-06,3.051758E-05,-68.51413,1.525879E-05,-0.0001220703,-9.16748,1.468658E-05,-0.0001312256,11.38676
0.5669844,-0.767868,0.03287835,0.2963553,-3.814697E-06,1.525879E-05,-67.36823,4.577637E-05,0.0001220703,-9.167236,4.692078E-05,0.0001174927,11.04323
0.5592774,-0.7734994,0.03584021,0.2960117,-3.814697E-06,1.525879E-05,-66.22232,0,0,-9.167236,1.144409E-06,-4.577637E-06,10.69946
0.5515146,-0.7790534,0.03879849,0.2956385,0,1.525879E-05,-65.07642,-3.051758E-05,0,-9.167236,-3.051758E-05,-4.577637E-06,10.35569
0.5436966,-0.7845295,0.04175289,0.2952358,0,1.525879E-05,-63.93048,0,0,-9.16748,0,-4.577637E-06,10.01167
